Apples	12
Apricots	7
Avocados	26
Bananas	35
Blueberries	0
Cherries	15
Cranberries	1
Currants	1
Dates	14
Figs	25
Gooseberries	6
Grapefruit	31
Grapes	4
Kiwis	18
Lemons and limes	34
Oranges	24
Peaches and nectarines	9
Pears	14
Persimmons	9
Pineapples	46
Plums and sloes	7
Quinces	26
Raspberries	0
Sour cherries	15
Strawberries	5
Mandarins, clementines	21
